edge_id,from,to,from_unit,to_unit,transition_type,visual_bridge,review_status,reviewed_at,reviewer,evidence_path,review_notes
TE_REF003_030_030_TO_031,OP_SHOT_030,OP_SHOT_031,VU_REF003_014_NIGHT_CITY_BLUE_GRID,VU_REF003_015_NIGHT_AIRCRAFT_PASS,reference_cut_or_match,蓝色地面图案 -> 夜航飞行器,pending,,,,
TE_REF003_031_031_TO_032,OP_SHOT_031,OP_SHOT_032,VU_REF003_015_NIGHT_AIRCRAFT_PASS,VU_REF003_016_NEMO_SUNSET_PROFILE,reference_cut_or_match,夜航飞行器 -> Nemo 夕景初入,pending,,,,
TE_REF003_032_032_TO_033,OP_SHOT_032,OP_SHOT_033,VU_REF003_016_NEMO_SUNSET_PROFILE,VU_REF003_016_NEMO_SUNSET_PROFILE,intra_unit_continuity,Nemo 夕景初入 -> Nemo 夕景 hold,pending,,,,
TE_REF003_033_033_TO_034,OP_SHOT_033,OP_SHOT_034,VU_REF003_016_NEMO_SUNSET_PROFILE,VU_REF003_017_NADIA_SOLEMN_CLOSE,reference_cut_or_match,Nemo 夕景 hold -> Nadia 庄重正面,pending,,,,
TE_REF003_034_034_TO_035,OP_SHOT_034,OP_SHOT_035,VU_REF003_017_NADIA_SOLEMN_CLOSE,VU_REF003_018_BLUE_WATER_SYMBOL,reference_cut_or_match,Nadia 庄重正面 -> Blue Water 宝石象征,pending,,,,
TE_REF003_035_035_TO_036,OP_SHOT_035,OP_SHOT_036,VU_REF003_018_BLUE_WATER_SYMBOL,VU_REF003_018_BLUE_WATER_SYMBOL,intra_unit_continuity,Blue Water 宝石象征 -> 蓝色符号光,pending,,,,
TE_REF003_036_036_TO_037,OP_SHOT_036,OP_SHOT_037,VU_REF003_018_BLUE_WATER_SYMBOL,VU_REF003_018_BLUE_WATER_SYMBOL,intra_unit_continuity,蓝色符号光 -> 水下蓝色纹理,pending,,,,
TE_REF003_037_037_TO_038,OP_SHOT_037,OP_SHOT_038,VU_REF003_018_BLUE_WATER_SYMBOL,VU_REF003_019_WATER_SPLASH_TRANSITION,reference_cut_or_match,水下蓝色纹理 -> 水花爆发,pending,,,,
TE_REF003_038_038_TO_039,OP_SHOT_038,OP_SHOT_039,VU_REF003_019_WATER_SPLASH_TRANSITION,VU_REF003_019_WATER_SPLASH_TRANSITION,intra_unit_continuity,水花爆发 -> 水花转蓝天,pending,,,,
TE_REF003_039_039_TO_040,OP_SHOT_039,OP_SHOT_040,VU_REF003_019_WATER_SPLASH_TRANSITION,VU_REF003_020_FINAL_SKY_SAFE_HOLD,reference_cut_or_match,水花转蓝天 -> 最终蓝天安全位,pending,,,,
TE_REF003_040_040_TO_041,OP_SHOT_040,OP_SHOT_041,VU_REF003_020_FINAL_SKY_SAFE_HOLD,VU_REF003_020_FINAL_SKY_SAFE_HOLD,intra_unit_continuity,最终蓝天安全位 -> 最终太阳 hold,pending,,,,
TE_REF003_041_041_TO_042,OP_SHOT_041,OP_SHOT_042,VU_REF003_020_FINAL_SKY_SAFE_HOLD,VU_REF003_021_BLACK_TAIL,reference_cut_or_match,最终太阳 hold -> 黑场结尾,pending,,,,
