sample_index,time_seconds,timecode,frame_path
77,38.000,00:38.00,frames_sampled/reference-003-full-op-2160p_0077.jpg
78,38.500,00:38.50,frames_sampled/reference-003-full-op-2160p_0078.jpg
79,39.000,00:39.00,frames_sampled/reference-003-full-op-2160p_0079.jpg
80,39.500,00:39.50,frames_sampled/reference-003-full-op-2160p_0080.jpg
81,40.000,00:40.00,frames_sampled/reference-003-full-op-2160p_0081.jpg
82,40.500,00:40.50,frames_sampled/reference-003-full-op-2160p_0082.jpg
83,41.000,00:41.00,frames_sampled/reference-003-full-op-2160p_0083.jpg
84,41.500,00:41.50,frames_sampled/reference-003-full-op-2160p_0084.jpg
85,42.000,00:42.00,frames_sampled/reference-003-full-op-2160p_0085.jpg
86,42.500,00:42.50,frames_sampled/reference-003-full-op-2160p_0086.jpg
87,43.000,00:43.00,frames_sampled/reference-003-full-op-2160p_0087.jpg
88,43.500,00:43.50,frames_sampled/reference-003-full-op-2160p_0088.jpg
89,44.000,00:44.00,frames_sampled/reference-003-full-op-2160p_0089.jpg
90,44.500,00:44.50,frames_sampled/reference-003-full-op-2160p_0090.jpg
91,45.000,00:45.00,frames_sampled/reference-003-full-op-2160p_0091.jpg
92,45.500,00:45.50,frames_sampled/reference-003-full-op-2160p_0092.jpg
93,46.000,00:46.00,frames_sampled/reference-003-full-op-2160p_0093.jpg
94,46.500,00:46.50,frames_sampled/reference-003-full-op-2160p_0094.jpg
95,47.000,00:47.00,frames_sampled/reference-003-full-op-2160p_0095.jpg
96,47.500,00:47.50,frames_sampled/reference-003-full-op-2160p_0096.jpg
97,48.000,00:48.00,frames_sampled/reference-003-full-op-2160p_0097.jpg
98,48.500,00:48.50,frames_sampled/reference-003-full-op-2160p_0098.jpg
99,49.000,00:49.00,frames_sampled/reference-003-full-op-2160p_0099.jpg
100,49.500,00:49.50,frames_sampled/reference-003-full-op-2160p_0100.jpg
101,50.000,00:50.00,frames_sampled/reference-003-full-op-2160p_0101.jpg
102,50.500,00:50.50,frames_sampled/reference-003-full-op-2160p_0102.jpg
103,51.000,00:51.00,frames_sampled/reference-003-full-op-2160p_0103.jpg
104,51.500,00:51.50,frames_sampled/reference-003-full-op-2160p_0104.jpg
105,52.000,00:52.00,frames_sampled/reference-003-full-op-2160p_0105.jpg
106,52.500,00:52.50,frames_sampled/reference-003-full-op-2160p_0106.jpg
107,53.000,00:53.00,frames_sampled/reference-003-full-op-2160p_0107.jpg
108,53.500,00:53.50,frames_sampled/reference-003-full-op-2160p_0108.jpg
109,54.000,00:54.00,frames_sampled/reference-003-full-op-2160p_0109.jpg
110,54.500,00:54.50,frames_sampled/reference-003-full-op-2160p_0110.jpg
111,55.000,00:55.00,frames_sampled/reference-003-full-op-2160p_0111.jpg
112,55.500,00:55.50,frames_sampled/reference-003-full-op-2160p_0112.jpg
113,56.000,00:56.00,frames_sampled/reference-003-full-op-2160p_0113.jpg
114,56.500,00:56.50,frames_sampled/reference-003-full-op-2160p_0114.jpg
115,57.000,00:57.00,frames_sampled/reference-003-full-op-2160p_0115.jpg
116,57.500,00:57.50,frames_sampled/reference-003-full-op-2160p_0116.jpg
117,58.000,00:58.00,frames_sampled/reference-003-full-op-2160p_0117.jpg
118,58.500,00:58.50,frames_sampled/reference-003-full-op-2160p_0118.jpg
119,59.000,00:59.00,frames_sampled/reference-003-full-op-2160p_0119.jpg
120,59.500,00:59.50,frames_sampled/reference-003-full-op-2160p_0120.jpg
121,60.000,01:00.00,frames_sampled/reference-003-full-op-2160p_0121.jpg
122,60.500,01:00.50,frames_sampled/reference-003-full-op-2160p_0122.jpg
123,61.000,01:01.00,frames_sampled/reference-003-full-op-2160p_0123.jpg
124,61.500,01:01.50,frames_sampled/reference-003-full-op-2160p_0124.jpg
125,62.000,01:02.00,frames_sampled/reference-003-full-op-2160p_0125.jpg
126,62.500,01:02.50,frames_sampled/reference-003-full-op-2160p_0126.jpg
127,63.000,01:03.00,frames_sampled/reference-003-full-op-2160p_0127.jpg
128,63.500,01:03.50,frames_sampled/reference-003-full-op-2160p_0128.jpg
129,64.000,01:04.00,frames_sampled/reference-003-full-op-2160p_0129.jpg
130,64.500,01:04.50,frames_sampled/reference-003-full-op-2160p_0130.jpg
131,65.000,01:05.00,frames_sampled/reference-003-full-op-2160p_0131.jpg
132,65.500,01:05.50,frames_sampled/reference-003-full-op-2160p_0132.jpg
133,66.000,01:06.00,frames_sampled/reference-003-full-op-2160p_0133.jpg
134,66.500,01:06.50,frames_sampled/reference-003-full-op-2160p_0134.jpg
135,67.000,01:07.00,frames_sampled/reference-003-full-op-2160p_0135.jpg
136,67.500,01:07.50,frames_sampled/reference-003-full-op-2160p_0136.jpg
137,68.000,01:08.00,frames_sampled/reference-003-full-op-2160p_0137.jpg
138,68.500,01:08.50,frames_sampled/reference-003-full-op-2160p_0138.jpg
139,69.000,01:09.00,frames_sampled/reference-003-full-op-2160p_0139.jpg
140,69.500,01:09.50,frames_sampled/reference-003-full-op-2160p_0140.jpg
141,70.000,01:10.00,frames_sampled/reference-003-full-op-2160p_0141.jpg
142,70.500,01:10.50,frames_sampled/reference-003-full-op-2160p_0142.jpg
143,71.000,01:11.00,frames_sampled/reference-003-full-op-2160p_0143.jpg
144,71.500,01:11.50,frames_sampled/reference-003-full-op-2160p_0144.jpg
145,72.000,01:12.00,frames_sampled/reference-003-full-op-2160p_0145.jpg
146,72.500,01:12.50,frames_sampled/reference-003-full-op-2160p_0146.jpg
147,73.000,01:13.00,frames_sampled/reference-003-full-op-2160p_0147.jpg
148,73.500,01:13.50,frames_sampled/reference-003-full-op-2160p_0148.jpg
149,74.000,01:14.00,frames_sampled/reference-003-full-op-2160p_0149.jpg
150,74.500,01:14.50,frames_sampled/reference-003-full-op-2160p_0150.jpg
151,75.000,01:15.00,frames_sampled/reference-003-full-op-2160p_0151.jpg
152,75.500,01:15.50,frames_sampled/reference-003-full-op-2160p_0152.jpg
153,76.000,01:16.00,frames_sampled/reference-003-full-op-2160p_0153.jpg
154,76.500,01:16.50,frames_sampled/reference-003-full-op-2160p_0154.jpg
155,77.000,01:17.00,frames_sampled/reference-003-full-op-2160p_0155.jpg
156,77.500,01:17.50,frames_sampled/reference-003-full-op-2160p_0156.jpg
157,78.000,01:18.00,frames_sampled/reference-003-full-op-2160p_0157.jpg
158,78.500,01:18.50,frames_sampled/reference-003-full-op-2160p_0158.jpg
159,79.000,01:19.00,frames_sampled/reference-003-full-op-2160p_0159.jpg
160,79.500,01:19.50,frames_sampled/reference-003-full-op-2160p_0160.jpg
161,80.000,01:20.00,frames_sampled/reference-003-full-op-2160p_0161.jpg
162,80.500,01:20.50,frames_sampled/reference-003-full-op-2160p_0162.jpg
163,81.000,01:21.00,frames_sampled/reference-003-full-op-2160p_0163.jpg
164,81.500,01:21.50,frames_sampled/reference-003-full-op-2160p_0164.jpg
165,82.000,01:22.00,frames_sampled/reference-003-full-op-2160p_0165.jpg
166,82.500,01:22.50,frames_sampled/reference-003-full-op-2160p_0166.jpg
167,83.000,01:23.00,frames_sampled/reference-003-full-op-2160p_0167.jpg
168,83.500,01:23.50,frames_sampled/reference-003-full-op-2160p_0168.jpg
169,84.000,01:24.00,frames_sampled/reference-003-full-op-2160p_0169.jpg
