order,unit_id,title,time_range,generated_anchor_count,p1_candidate_count,prompt_only
18,VU_REF003_R7_018_REACTION_TO_ACTION_CLUSTER,奔跑到动作插入簇,00:47.42-00:48.17,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/18_VU_REF003_R7_018_REACTION_TO_ACTION_CLUSTER.md
19,VU_REF003_R7_019_GRANDIS_ACTION_INSERT,Grandis动作短插,00:48.17-00:48.67,1,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/19_VU_REF003_R7_019_GRANDIS_ACTION_INSERT.md
20,VU_REF003_R7_020_VEHICLE_PREP_FLASH,车辆动作预备闪帧,00:48.67-00:49.67,1,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/20_VU_REF003_R7_020_VEHICLE_PREP_FLASH.md
21,VU_REF003_R7_021_VEHICLE_ARC,车辆飞行动作,00:49.67-00:50.68,1,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/21_VU_REF003_R7_021_VEHICLE_ARC.md
22,VU_REF003_R7_022_GROUP_LINEUP_TO_UNDERSEA,群像到海底过渡,00:50.68-00:52.43,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/22_VU_REF003_R7_022_GROUP_LINEUP_TO_UNDERSEA.md
23,VU_REF003_R7_023_NAUTILUS_UNDERSEA_ENTRY,Nautilus海底入场,00:52.43-00:55.00,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/23_VU_REF003_R7_023_NAUTILUS_UNDERSEA_ENTRY.md
24,VU_REF003_R7_024_NAUTILUS_PASS,Nautilus水下通过,00:55.00-00:57.00,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/24_VU_REF003_R7_024_NAUTILUS_PASS.md
25,VU_REF003_R7_025_NAUTILUS_LIGHT_SHIFT,Nautilus光带变化,00:57.00-00:58.50,2,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/25_VU_REF003_R7_025_NAUTILUS_LIGHT_SHIFT.md
26,VU_REF003_R7_026_NAUTILUS_EXIT,Nautilus海底尾段,00:58.50-01:01.44,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/26_VU_REF003_R7_026_NAUTILUS_EXIT.md
27,VU_REF003_R7_027_NIGHT_CITY_GRID,夜城蓝网格,01:01.44-01:04.94,4,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/27_VU_REF003_R7_027_NIGHT_CITY_GRID.md
28,VU_REF003_R7_028_NIGHT_AIRCRAFT_PASS,夜航飞行器短切,01:04.94-01:06.02,2,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/28_VU_REF003_R7_028_NIGHT_AIRCRAFT_PASS.md
29,VU_REF003_R7_029_NEMO_SUNSET_PROFILE,Nemo夕景肖像长段,01:06.02-01:11.36,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/29_VU_REF003_R7_029_NEMO_SUNSET_PROFILE.md
30,VU_REF003_R7_030_NADIA_SOLEMN_TO_JEWEL,Nadia庄重到宝石,01:11.36-01:14.07,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/30_VU_REF003_R7_030_NADIA_SOLEMN_TO_JEWEL.md
31,VU_REF003_R7_031_BLUE_WATER_BLOOM,Blue Water蓝色绽放,01:14.07-01:16.45,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/31_VU_REF003_R7_031_BLUE_WATER_BLOOM.md
32,VU_REF003_R7_032_UNDERWATER_TO_SPLASH,水下纹理到水花,01:16.45-01:17.79,3,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/32_VU_REF003_R7_032_UNDERWATER_TO_SPLASH.md
33,VU_REF003_R7_033_SPLASH_PEAK,水花爆发峰值,01:17.79-01:19.20,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/33_VU_REF003_R7_033_SPLASH_PEAK.md
34,VU_REF003_R7_034_FINAL_SKY_TRANSITION,最终天空转场,01:19.20-01:20.79,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/34_VU_REF003_R7_034_FINAL_SKY_TRANSITION.md
35,VU_REF003_R7_035_FINAL_SKY_HOLD,最终天空Hold,01:20.79-01:23.58,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/35_VU_REF003_R7_035_FINAL_SKY_HOLD.md
36,VU_REF003_R7_036_BLACK_TAIL,黑场尾帧,01:23.58-01:24.42,1,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/36_VU_REF003_R7_036_BLACK_TAIL.md
