asset_id,category,batch,pure_path,annotated_path,pure_exists,no_text_or_labels,identity_ok,space_ok,lighting_ok,whitebox_ok,overall_status,issue_summary,root_cause,replacement_needed,replacement_path
MSB034,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB034_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB034_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB035,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB035_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB035_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB036,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB036_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB036_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB037,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB037_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB037_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB038,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB038_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB038_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB039,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB039_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB039_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB040,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB040_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB040_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB041,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB041_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB041_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB042,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB042_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB042_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB043,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB043_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB043_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB044,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB044_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB044_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB045,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB045_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB045_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB046,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB046_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB046_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB047,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB047_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB047_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB048,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB048_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB048_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB049,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB049_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB049_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB050,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB050_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB050_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB051,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB051_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB051_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB052,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB052_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB052_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB053,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB053_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB053_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB054,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB054_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB054_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB055,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB055_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB055_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB056,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB056_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB056_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB057,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB057_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB057_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB058,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB058_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB058_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB059,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB059_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB059_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB060,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB060_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB060_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB061,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB061_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB061_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB062,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB062_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB062_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB063,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB063_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB063_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB064,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB064_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB064_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB065,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB065_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB065_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB066,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB066_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB066_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB067,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB067_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB067_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB068,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB068_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB068_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB069,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB069_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB069_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB070,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB070_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB070_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB071,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB071_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB071_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB072,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB072_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB072_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB073,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB073_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB073_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB074,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB074_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB074_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB075,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB075_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB075_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB076,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB076_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB076_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB077,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB077_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB077_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB078,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB078_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB078_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB079,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB079_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB079_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB080,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB080_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB080_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB081,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB081_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB081_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB082,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB082_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB082_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB083,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB083_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB083_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB084,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB084_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB084_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB085,micro_storyboard,B03,visual_assets/pure/micro_storyboard/B03/MSB085_v001.png,visual_assets/annotated/micro_storyboard/B03/MSB085_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB086,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB086_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB086_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB087,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB087_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB087_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB088,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB088_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB088_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB089,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB089_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB089_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB090,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB090_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB090_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB091,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB091_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB091_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB092,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB092_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB092_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB093,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB093_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB093_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB094,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB094_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB094_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB095,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB095_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB095_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB096,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB096_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB096_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB097,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB097_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB097_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB098,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB098_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB098_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB099,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB099_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB099_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB100,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB100_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB100_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB101,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB101_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB101_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB102,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB102_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB102_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB103,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB103_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB103_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB104,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB104_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB104_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB105,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB105_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB105_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB106,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB106_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB106_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB107,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB107_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB107_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB108,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB108_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB108_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB109,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB109_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB109_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB110,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB110_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB110_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB111,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB111_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB111_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB112,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB112_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB112_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB113,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB113_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB113_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB114,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB114_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB114_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB115,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB115_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB115_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB116,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB116_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB116_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB117,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB117_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB117_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB118,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB118_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB118_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB119,micro_storyboard,B04,visual_assets/pure/micro_storyboard/B04/MSB119_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB119_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB120,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB120_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB120_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB121,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB121_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB121_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB122,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB122_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB122_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB123,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB123_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB123_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB124,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB124_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB124_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB125,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB125_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB125_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB126,micro_storyboard,B05,visual_assets/pure/micro_storyboard/B05/MSB126_v001.png,visual_assets/annotated/micro_storyboard/B05/MSB126_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
