shot_id,scene_id,asset_type,pure_path,annotated_path,final_storyboard_path,pure_exists,final_exists
MSB029,SCN_ARCADE,keyframe,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB029_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB029_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB029_final_storyboard_v002.jpg,true,true
MSB030,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB030_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB030_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB030_final_storyboard_v002.jpg,true,true
MSB031,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB031_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB031_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB031_final_storyboard_v002.jpg,true,true
MSB032,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB032_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB032_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB032_final_storyboard_v002.jpg,true,true
MSB033,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB033_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB033_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB033_final_storyboard_v002.jpg,true,true
MSB034,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB034_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB034_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB034_final_storyboard_v002.jpg,true,true
MSB035,SCN_ARCADE,start_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB035_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB035_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB035_final_storyboard_v002.jpg,true,true
MSB036,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB036_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB036_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB036_final_storyboard_v002.jpg,true,true
MSB037,SCN_ARCADE,end_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB037_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB037_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB037_final_storyboard_v002.jpg,true,true
MSB038,SCN_ARCADE,start_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB038_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB038_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB038_final_storyboard_v002.jpg,true,true
MSB039,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB039_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB039_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB039_final_storyboard_v002.jpg,true,true
MSB040,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB040_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB040_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB040_final_storyboard_v002.jpg,true,true
MSB041,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB041_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB041_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB041_final_storyboard_v002.jpg,true,true
MSB042,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB042_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB042_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB042_final_storyboard_v002.jpg,true,true
MSB043,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB043_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB043_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB043_final_storyboard_v002.jpg,true,true
MSB044,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB044_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB044_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB044_final_storyboard_v002.jpg,true,true
MSB045,SCN_ARCADE,keyframe,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB045_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB045_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB045_final_storyboard_v002.jpg,true,true
MSB046,SCN_ARCADE,keyframe,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB046_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB046_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB046_final_storyboard_v002.jpg,true,true
MSB047,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB047_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB047_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB047_final_storyboard_v002.jpg,true,true
MSB048,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB048_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB048_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB048_final_storyboard_v002.jpg,true,true
MSB049,SCN_ARCADE,end_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB049_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB049_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB049_final_storyboard_v002.jpg,true,true
MSB050,SCN_ARCADE,keyframe,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB050_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB050_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB050_final_storyboard_v002.jpg,true,true
MSB051,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB051_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB051_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB051_final_storyboard_v002.jpg,true,true
MSB052,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB052_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB052_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB052_final_storyboard_v002.jpg,true,true
MSB053,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB053_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB053_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB053_final_storyboard_v002.jpg,true,true
MSB054,SCN_ARCADE,keyframe,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB054_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB054_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB054_final_storyboard_v002.jpg,true,true
MSB055,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB055_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB055_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB055_final_storyboard_v002.jpg,true,true
MSB056,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB056_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB056_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB056_final_storyboard_v002.jpg,true,true
MSB057,SCN_ARCADE,end_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB057_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B02/MSB057_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B02/MSB057_final_storyboard_v002.jpg,true,true
